"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU13_14","1750","0.0909090909090909","0","0","0.454545454545455","0.0909090909090909","0","0.0909090909090909","0.181818181818182","0.0909090909090909"
"LU13_52","1750","0","0","0","0.0333333333333333","0.166666666666667","0","0.2","0.333333333333333","0.266666666666667"
"LU13_36","1750","0","0","0","0.0454545454545455","0.272727272727273","0","0.227272727272727","0.136363636363636","0.318181818181818"
"LU13_38","1750","0","0","0","0.111111111111111","0.222222222222222","0","0.166666666666667","0.277777777777778","0.222222222222222"
"LU13_20","1750","0.0555555555555556","0","0.0277777777777778","0.0555555555555556","0.0277777777777778","0","0.277777777777778","0.333333333333333","0.222222222222222"
"LU13_17","1750","0.0625","0","0.03125","0.0625","0.0625","0","0.28125","0.28125","0.21875"
"LU13_56","1750","0.0810810810810811","0","0.027027027027027","0.027027027027027","0.135135135135135","0","0.243243243243243","0.324324324324324","0.162162162162162"
"LU13_49","1750","0.1","0","0","0.25","0.05","0","0.2","0.25","0.15"
"LU13_70","1750","0.148148148148148","0","0.037037037037037","0.185185185185185","0.185185185185185","0","0.185185185185185","0.185185185185185","0.0740740740740741"
"LU13_11","1750","0.0967741935483871","0","0.032258064516129","0.0645161290322581","0.0967741935483871","0","0.258064516129032","0.419354838709677","0.032258064516129"
"LU15_44","1750","0","0","0","0.4","0.2","0","0.266666666666667","0.133333333333333","0"
"LU15_11","1750","0.0555555555555556","0","0","0.277777777777778","0.111111111111111","0","0.166666666666667","0.277777777777778","0.111111111111111"
"LU15_19","1750","0.0434782608695652","0","0","0.347826086956522","0.130434782608696","0","0.217391304347826","0.217391304347826","0.0434782608695652"
"LU15_07","1750","0","0","0.05","0.1","0.2","0.1","0.1","0.35","0.1"
"LU15_34","1750","0.0769230769230769","0","0.0384615384615385","0.153846153846154","0.115384615384615","0.192307692307692","0.192307692307692","0.115384615384615","0.115384615384615"
"LU15_37","1750","0.0697674418604651","0","0.0232558139534884","0.0930232558139535","0.116279069767442","0.0697674418604651","0.302325581395349","0.232558139534884","0.0930232558139535"
"LU15_18","1750","0.125","0","0","0.25","0.125","0","0.3125","0.125","0.0625"
"LU15_43","1750","0.0714285714285714","0","0","0.357142857142857","0.0714285714285714","0","0.285714285714286","0.214285714285714","0"
"LU15_10","1750","0.0769230769230769","0","0","0.230769230769231","0.0769230769230769","0","0.230769230769231","0.307692307692308","0.0769230769230769"
"LU15_58","1750","0.0769230769230769","0","0","0.230769230769231","0.0769230769230769","0","0.230769230769231","0.307692307692308","0.0769230769230769"
"LU15_08","1750","0.235294117647059","0","0","0.176470588235294","0.117647058823529","0","0.117647058823529","0.235294117647059","0.117647058823529"
"LU15_12","1750","0.0909090909090909","0","0","0.181818181818182","0","0","0.272727272727273","0.272727272727273","0.181818181818182"
"LU15_17","1750","0.0476190476190476","0","0","0.238095238095238","0.0476190476190476","0","0.428571428571429","0.0952380952380952","0.142857142857143"
"LU15_01","1750","0","0","0.0294117647058824","0.205882352941176","0.147058823529412","0.176470588235294","0.117647058823529","0.294117647058824","0.0294117647058824"
"LU15_26","1750","0","0","0.0357142857142857","0.214285714285714","0.178571428571429","0.214285714285714","0.107142857142857","0.214285714285714","0.0357142857142857"
"LU15_27","1750","0","0","0.04","0.2","0.12","0.16","0.12","0.36","0"
"LU15_28","1750","0","0","0.037037037037037","0.148148148148148","0.148148148148148","0.111111111111111","0.222222222222222","0.222222222222222","0.111111111111111"
"LU15_02","1750","0","0","0.0277777777777778","0.111111111111111","0.138888888888889","0.138888888888889","0.166666666666667","0.305555555555556","0.111111111111111"
"LU15_29","1750","0","0","0.024390243902439","0.121951219512195","0.146341463414634","0.195121951219512","0.146341463414634","0.24390243902439","0.121951219512195"
"LU15_30","1750","0","0","0.0217391304347826","0.0652173913043478","0.108695652173913","0.217391304347826","0.195652173913043","0.260869565217391","0.130434782608696"
"LU15_31","1750","0","0","0.0217391304347826","0.0217391304347826","0.130434782608696","0.217391304347826","0.173913043478261","0.347826086956522","0.0869565217391304"
"LU15_32","1750","0.0208333333333333","0","0.0208333333333333","0.0625","0.145833333333333","0.208333333333333","0.145833333333333","0.291666666666667","0.104166666666667"
"LU15_20","1750","0.0625","0","0.0625","0","0.0625","0.4375","0","0.375","0"
"LU15_21","1750","0","0","0.0555555555555556","0","0.111111111111111","0.388888888888889","0.0555555555555556","0.333333333333333","0.0555555555555556"
"LU15_23","1750","0","0","0.05","0.1","0.15","0.45","0.1","0.15","0"
"LU15_41","1750","0","0","0.037037037037037","0.111111111111111","0.148148148148148","0.407407407407407","0.0740740740740741","0.185185185185185","0.037037037037037"
"LU15_25","1750","0.130434782608696","0","0","0.260869565217391","0.173913043478261","0","0.217391304347826","0.130434782608696","0.0869565217391304"
"LU15_09","1750","0.1","0","0","0.15","0.2","0.05","0.1","0.25","0.15"
"LU15_24","1750","0","0","0.0555555555555556","0","0.0555555555555556","0.555555555555556","0","0.277777777777778","0.0555555555555556"
"LU15_46","1750","0","0","0.0625","0","0.0625","0.375","0.0625","0.375","0.0625"
"LU15_40","1750","0.05","0","0","0.15","0.05","0","0.5","0.1","0.15"
"LU15_16","1750","0.0625","0","0","0.3125","0","0","0.3125","0.125","0.1875"
"LU15_04","1750","0.266666666666667","0","0","0.133333333333333","0.0666666666666667","0","0.2","0.2","0.133333333333333"
"LU15_36","1750","0.551724137931034","0","0","0.137931034482759","0.103448275862069","0","0.0344827586206897","0.103448275862069","0.0689655172413793"
"LU15_03","1750","0","0","0.0285714285714286","0.114285714285714","0.142857142857143","0.314285714285714","0.0857142857142857","0.257142857142857","0.0571428571428571"
"LU15_15","1750","0","0","0.0256410256410256","0.128205128205128","0.179487179487179","0.333333333333333","0.102564102564103","0.205128205128205","0.0256410256410256"
"LU15_14","1750","0","0","0.04","0.08","0.24","0.4","0.08","0.16","0"
"LU15_22","1750","0.037037037037037","0","0.037037037037037","0.037037037037037","0.111111111111111","0.148148148148148","0.296296296296296","0.222222222222222","0.111111111111111"
