Site,BUFF_DIST,LC_class20,LC_class32,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
LU01_36,250,0,0,0,0,0,0.053886749,0,0.877786383,0.068326868,0
LU01_84,250,0,0,0,0.150481523,0.094125059,0,0,0.755393273,0,0
LU01_25,250,0,0,0,0.161147994,0,0,0,0.473357005,0.365494947,0
LU01_83,250,0,0,0,0,0,0,0,0.983107787,0.016892213,0
LU01_80,250,0,0,0,0.291134227,0.126803615,0,0,0.363896046,0.218166158,0
LU01_70,250,0,0,0,0.08319703,0.05088225,0,0,0.754059492,0.074906945,0.036954261
LU01_48,250,0,0,0,0.241576561,0,0.38971981,0,0.016928983,0.35177461,0
LU01_45,250,0,0,0,0.117406947,0,0,0,0.174116171,0.708476811,0
LU01_11,250,0.354465883,0,0,0.176481697,0,0.132986914,0,0,0.336065386,0
LU01_40,250,0,0,0,0.250204739,0,0.731887074,0,0,0.017908124,0
LU01_06,250,0,0,0,0.061277148,0,0,0,0,0.938722788,0
LU01_10,250,0,0,0,0.049860701,0,0,0,0,0.950139285,0
LU01_43,250,0,0,0,0.102402447,0,0.143801019,0,0.744997916,0.008798644,0
LU01_71,250,0,0,0,0.125831775,0,0,0,0.874168181,0,0
LU01_22,250,0,0,0,0.296189862,0.068425428,0,0,0.635384635,0,0
LU01_60,250,0,0,0,0.001952813,0.223173479,0.144330926,0,0.306643477,0.23519148,0.088707782
LU01_78,250,0,0,0,0,0,0,0,1,0,0
LU01_46,250,0,0,0,0.504851859,0.13832008,0.006826398,0,0.01371259,0,0.336288988
LU01_82,250,0,0,0,0.07530399,0,0,0,0.92469589,0,0
LU01_27,250,0,0,0,0.153683097,0,0.002704772,0,0.005867661,0.837744423,0
LU13_18,500,0.102366505,0,0,0.001501041,0.257624071,0.126409551,0,0.486903382,0.025195449,0
LU13_15,500,0,0,0.097880761,0.124172965,0.008832214,0.161319562,0,0.45562825,0,0.152166224
LU13_03,500,0,0,0,0,0.257241484,0,0,0.51676371,0,0.225994806
LU13_34,500,0,0,0,0,0.015064072,0,0,0.984935928,0,0
LU13_57,500,0,0,0,0,2.53E-06,0.136088576,0,0.863908899,0,0
LU13_16,500,0.150057858,0,0,0,0,0,0,0.817364158,0.032577984,0
LU13_21,500,0.020253755,0,0.211180202,0.18991644,0.239819138,0.130505489,0,0.208324975,0,0
LU13_37,500,0,0,0,0,0.021485195,0,0,0.978514805,0,0
LU13_55,500,0,0,0,0,0.508989502,0,0,0.491010498,0,0
LU13_47,500,0,0,0,0,0,0.077351274,0,0.922648726,0,0
LU13_51,500,0,0,0,0,0,0.086184371,0,0.913815629,0,0
LU13_27,500,0,0,0,0,0,0.092285116,0,0.907714884,0,0
LU13_05,500,0,0,0,0,0,0.120651212,0,0.871808143,0,0.007540644
LU13_26,500,0,0,0,0,0,0.116058349,0,0.880592137,0.003349514,0
LU13_35,500,0,0,0,0,0.147423316,0,0,0.852576684,0,0
LU13_13,500,0,0,0,0,0.004835118,0.104627079,0,0.848501683,0.04203612,0
LU13_128,500,0,0,0,0,0.199599207,0.001401217,0,0.798999576,0,0
LU13_131,500,0,0,0,0,0.174514602,0.187739725,0,0.637745673,0,0
LU13_12,500,0,0,0,0,0.0213211,0.095876748,0,0.882802152,0,0
LU13_33,500,0,0,0,0,0,0.372700945,0,0.627299055,0,0
LU13_32,500,0,0,0,0,0.1501469,0.285470774,0,0.564382326,0,0
LU13_30,500,0,0,0,0,0.092110531,0.253951274,0,0.653938195,0,0
LU13_53,500,0,0,0,0,0,0.084051451,0,0.915948549,0,0
LU13_22,500,0,0,0,0,0.003680613,0,0,0.22243117,0.543595787,0.23029243
LU13_19,500,0,0,0,0,0,0.135864551,0,0.857741376,0.006394073,0
LU13_45,500,0,0,0,0,0,0.115558098,0,0.884441902,0,0
LU13_08,500,0,0,0,0,0,0.1451487,0,0.8548513,0,0
LU13_43,500,0,0,0,0,0.005988663,0.107411471,0,0.886599865,0,0
LU13_41,500,0,0,0,0,0,0.153797917,0,0.839810223,0.00639186,0
LU13_59,500,0,0,0,0,0.00990791,0.029257276,0,0.960834814,0,0
LU13_06,500,0,0,0,0,0.029526856,0,0,0.970473144,0,0
LU13_14,500,0,0,0,0,0,0.120184816,0,0.610747314,0.040134022,0.228933849
LU13_52,500,0,0,0,0,0.000341222,0,0,0.999658778,0,0
LU13_36,500,0,0,0,0,0.135739162,0,0,0.864260838,0,0
LU13_38,500,0,0,0,0,0.253716499,0.056533776,0,0.689749724,0,0
LU13_20,500,0,0,0,0,0.029457117,0.062869213,0,0.861683423,0.045990246,0
LU13_17,500,0,0,0,0,0.108619973,0,0,0.875829415,0.015550612,0
LU13_56,500,0,0,0,0,0.031220829,0,0,0.825380944,0.143398227,0
LU13_49,500,0,0,0,0,0.014857686,0.096257864,0,0.888884451,0,0
LU13_70,500,0.033437817,0,0,0.100580075,0,0.042579958,0,0.819256993,0,0.004145169
LU13_11,500,0.091332981,0,0.10274763,0.149785194,0,0,0,0.656134206,0,0
LU15_44,500,0,0,0,0.044672881,0,0.086116388,0,0.857904821,0,0.01130591
LU15_11,500,0,0,0,0.065397262,0,0.015548664,0,0.919054075,0,0
LU15_19,500,0,0,0,0.072896738,0,0,0,0.927103262,0,0
LU15_07,500,0,0,0,0.115246634,0.009381831,0,0,0.810670193,0.000508688,0.064192654
LU15_34,500,0,0,0,0.102169329,0.420140744,0,0,0.375478003,0,0.102211924
LU15_37,500,0,0,0,0.11231203,0,0.139581947,0,0.690336999,0,0.057769024
LU15_18,500,0,0,0,0.102373726,0.006216804,0,0,0.89140947,0,0
LU15_43,500,0,0,0,0.076298298,0.048547254,0,0,0.550559907,0,0.324594541
LU15_10,500,0,0,0,0.09725488,0,0.031718143,0,0.871026978,0,0
LU15_58,500,0,0,0,0,0.032991964,0.218566632,0,0.728520938,0,0.019920466
LU15_08,500,0,0,0,0.031933829,0,0.084130899,0,0.883935271,0,0
LU15_12,500,0,0,0,0.144763472,0,0,0,0.855236528,0,0
LU15_17,500,0,0,0,0,0,0.232847156,0,0.248935784,0,0.51821706
LU15_01,500,0,0,0,0.13751327,0.088315149,0.250141991,0,0.52402959,0,0
LU15_26,500,0,0,0,0.087671548,0.224882553,0.265445243,0,0.422000657,0,0
LU15_27,500,0,0,0,0.079161524,0.322941308,0.117438526,0,0.336728287,0,0.143730354
LU15_28,500,0,0,0,0.157968707,0.018232809,0.098031844,0,0.694048481,0,0.031718159
LU15_02,500,0,0,0,0.087905404,0.021862375,0.124968753,0,0.765263469,0,0
LU15_29,500,0,0,0,0.078996118,0.071049975,0.102193167,0,0.708419058,0,0.039341682
LU15_30,500,0,0,0,0.095029116,0,0.156576389,0,0.701907887,0,0.046486609
LU15_31,500,0,0,0,0.099348085,0.000491335,0.090550464,0,0.714833999,0,0.094776118
LU15_32,500,0,0,0,0.083153705,0.039552157,0.195180398,0,0.647292897,0,0.034820843
LU15_20,500,0,0,0,0.092240325,0,0.094802958,0,0.163411847,0.102970884,0.546573986
LU15_21,500,0,0,0,0.077248028,0.024747436,0.004446251,0,0.618475734,0.250627304,0.024455247
LU15_23,500,0,0,0,0.122586009,0.012124842,0,0,0.86528915,0,0
LU15_41,500,0,0,0,0.129857416,0.421280771,0,0,0.316723153,0,0.13213866
LU15_25,500,0,0,0,0.098303822,0.076815187,0,0,0.655689896,0,0.169191095
LU15_09,500,0,0,0,0.094878386,0,0,0,0.905121614,0,0
LU15_24,500,0,0,0,0.124370969,0,0.028700984,0,0.807360862,0,0.039567184
LU15_46,500,0,0,0,0.102681192,0.070505997,0.185693927,0,0.356285552,0.151439889,0.133393444
LU15_40,500,0,0,0,0,0,0.27183676,0,0.277199157,0,0.450964083
LU15_16,500,0,0,0,0.011895137,0.029681253,0.178576541,0,0.725611286,0.050825492,0.003410291
LU15_04,500,0,0,0,0.086550252,0,0,0,0.913449748,0,0
LU15_36,500,0,0,0,0.092770103,0.070099555,0.250113147,0,0.587017196,0,0
LU15_03,500,0,0,0,0.1264303,0.421291156,0.168865123,0,0.283413421,0,0
LU15_15,500,0,0,0.026368106,0.087439763,0.415139988,0.058919081,0,0.321439731,0,0.090693331
LU15_14,500,0,0,0.087320455,0.010254598,0.241315326,0,0,0.072843207,0.588266413,0
LU15_22,500,0,0,0,0,0.006782309,0,0,0.993217691,0,0
LU15_61,500,0,0,0,0,0,0,0,0.72836944,0.27163056,0
LU21_106,500,0,0,0,0,0,0,0,0.801739853,0.02652111,0.171739036
LU21_10,500,0.437907894,0,0,0,0.05316641,0.015847918,0,0.398175507,0.094902271,0
LU21_16,500,0,0,0,0,0,0,0,0.995563009,0,0.004436991
