"Site","BUFF_DIST","LC_class20","LC_class32","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU15_17","4750","0","0","0","0.0204081632653061","0.122448979591837","0.142857142857143","0","0.244897959183673","0.163265306122449","0.306122448979592"
"LU15_01","4750","0.0412371134020619","0","0.0206185567010309","0.0103092783505155","0.391752577319588","0.22680412371134","0","0.164948453608247","0","0.144329896907216"
"LU15_26","4750","0.0444444444444444","0","0.0111111111111111","0.0111111111111111","0.377777777777778","0.233333333333333","0","0.155555555555556","0.0111111111111111","0.155555555555556"
"LU15_27","4750","0.0824742268041237","0","0.0103092783505155","0.0103092783505155","0.350515463917526","0.247422680412371","0","0.123711340206186","0.0103092783505155","0.164948453608247"
"LU15_28","4750","0.0941176470588235","0","0.0588235294117647","0.0117647058823529","0.305882352941176","0.223529411764706","0","0.129411764705882","0.0235294117647059","0.152941176470588"
"LU15_02","4750","0.0985915492957746","0","0.0845070422535211","0.0140845070422535","0.267605633802817","0.225352112676056","0","0.0845070422535211","0.0704225352112676","0.154929577464789"
"LU15_29","4750","0.112676056338028","0","0.0422535211267606","0.0140845070422535","0.23943661971831","0.267605633802817","0","0.0985915492957746","0.0563380281690141","0.169014084507042"
"LU15_30","4750","0.0952380952380952","0","0.0476190476190476","0.0158730158730159","0.206349206349206","0.333333333333333","0","0.0793650793650794","0.0634920634920635","0.158730158730159"
"LU15_31","4750","0.0819672131147541","0","0.0491803278688525","0.0163934426229508","0.229508196721311","0.278688524590164","0","0.0983606557377049","0.0819672131147541","0.163934426229508"
"LU15_32","4750","0.0535714285714286","0","0.0178571428571429","0.0178571428571429","0.25","0.303571428571429","0","0.107142857142857","0.0892857142857143","0.160714285714286"
"LU15_20","4750","0.00740740740740741","0","0.0222222222222222","0.00740740740740741","0.244444444444444","0.207407407407407","0","0.17037037037037","0.2","0.140740740740741"
"LU15_21","4750","0.00714285714285714","0","0.0142857142857143","0.00714285714285714","0.278571428571429","0.157142857142857","0","0.171428571428571","0.192857142857143","0.171428571428571"
"LU15_23","4750","0.00694444444444444","0","0.0277777777777778","0.00694444444444444","0.284722222222222","0.1875","0","0.159722222222222","0.180555555555556","0.145833333333333"
"LU15_41","4750","0.0072463768115942","0","0.0289855072463768","0.0072463768115942","0.289855072463768","0.181159420289855","0","0.173913043478261","0.166666666666667","0.144927536231884"
"LU15_25","4750","0","0","0.0078125","0.0078125","0.296875","0.1640625","0","0.2109375","0.125","0.1875"
"LU15_09","4750","0","0","0.0075187969924812","0.0075187969924812","0.263157894736842","0.172932330827068","0","0.203007518796992","0.157894736842105","0.18796992481203"
"LU15_24","4750","0.00714285714285714","0","0.0214285714285714","0.00714285714285714","0.264285714285714","0.192857142857143","0","0.164285714285714","0.192857142857143","0.15"
