"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_119",1000,0,0.535265058,1.299105422,1.10726018,0,0,0,0,0,0.75429648,1.90709405,27.84522566,0,0,0.730844067
"LU2_119",1250,0,0.342560648,1.421883662,1.776974371,0,0,0,0,0,0.559691154,1.589562835,26.82176003,0,0,0.665297674
"LU2_119",1500,0.321072766,0.237885095,1.381909701,2.023190899,0,0,0,0,0,0.45515672,1.48293561,27.50030442,0,0,0.613710406
"LU2_119",1750,0.413491289,0.174770597,1.304604273,2.041355208,0,0,0,0,0,0.432935891,1.192371473,29.30148044,0,0,0.722136071
"LU2_119",2000,0.369714278,0.13380743,1.242344698,1.979217037,0,0,0,0,0,0.54162646,1.038722679,28.70292951,0,0,0.867160988
"LU2_119",2250,0.292117791,0.105723611,1.150884089,1.863936698,0,0,0.015945454,0,0,0.566223584,0.86456592,27.98577762,0,0,0.905422223
"LU2_119",2500,0.273634116,0.143589397,1.05922858,1.728962307,0,0,0.048761965,0,0,0.499355927,0.755685995,27.93591116,0,0,0.949645392
"LU2_123",250,0,0,1.307155542,4.500076878,0,0,0,0,0,0.730446587,0,0,0,0,3.490594235
"LU2_123",500,0,0,1.150184185,4.102140338,0,0,0,0,0,1.42897954,0.969418557,1.778854139,0,0,1.821315026
"LU2_123",750,0,0,0.81335593,2.903501567,0,0,0,0,0,0.635046808,1.136514348,1.66364243,0,0,1.328360826
"LU2_123",1000,0,0,0.621851179,2.220428025,0,0,0,0,0,0.650421336,0.992348596,5.135874637,0,0,1.342636302
"LU2_123",1250,0,0,0.502377557,1.793048463,0,0,0,0,2.285474627,0.670416307,2.831170906,4.47158239,0,0,1.309566834
"LU2_123",1500,0,0,0.422509651,1.509777369,0,0,0,0,3.832744194,0.465587882,2.550940258,5.51690615,0,0,1.277961935
"LU2_123",1750,0,0,0.505591822,1.510919973,0,0,0,0,3.911842925,0.342060406,2.282020027,5.671975091,0,0,1.2532899
"LU2_123",2000,0.225986449,0,0.717753361,2.041819724,0,0,0,0,3.618744528,0.311611629,2.27821583,6.85927053,0,0,1.244084077
"LU2_123",2250,0.505886591,0,0.765358828,2.088733896,0,0,0,0,3.328551001,0.260175522,2.16155264,7.173017336,0,0,1.233701529
"LU2_123",2500,0.427796681,0,0.786916723,2.095445587,0,0,0.040628677,0,3.065430813,0.250093725,2.031655349,6.914962837,0,0,1.225200116
