Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
2500 meter buffer,-0.5977168935251037,+,0.04560307610064783,-0.0746691189658713,-0.1545854911299227,-0.08322838194439158,-0.07426623878662683,0.08318239444976225,0.13095042703548124,9,-454.9213717313113,928.6535542734334,4.236125348326709,0.0209336152184615,osm_anthro_df_2021_2022,bear
1750 meter buffer,-0.5973737568371367,+,0.044133084216945964,-0.040286637083992036,-0.14611902771391597,-0.09228562721647568,-0.10733592042590237,0.07712904471373495,0.0988473756231054,9,-455.19924170128024,929.2092942133713,4.791865288264603,0.0158550217626861,osm_anthro_df_2021_2022,bear
2250 meter buffer,-0.5970674640778811,+,0.040595259500580426,-0.06358250228992439,-0.14929281156843474,-0.08316944953095373,-0.07224762146077753,0.08658668592647709,0.11917581344027457,9,-455.3338699256185,929.4785506620478,5.061121736941118,0.0138579358799176,osm_anthro_df_2021_2022,bear
2000 meter buffer,-0.5971866026720005,+,0.04329194855532686,-0.05038321060912852,-0.14757252169572385,-0.08609533577559245,-0.0930142362337023,0.08296611628785917,0.1053687688407802,9,-455.33622323466375,929.4832572801383,5.065828355031613,0.0138253622170436,osm_anthro_df_2021_2022,bear
1500 meter buffer,-0.5970707106510958,+,0.04253157237240341,-0.027985048121174513,-0.13526727350447001,-0.09866618213215203,-0.08144811913931017,0.07839530494934947,0.0826596899856302,9,-455.7317648038995,930.2743404186099,5.856911493503162,0.00930882782086563,osm_anthro_df_2021_2022,bear
1000 meter buffer,-0.5946071572678402,+,0.025947881248176544,-0.018972820302508447,-0.12706674971640036,-0.11114535351506427,-0.04636697479224709,0.08467478121959131,0.06608392351404871,9,-455.97113276443037,930.7530763396716,6.335647414564846,0.00732721294233599,osm_anthro_df_2021_2022,bear
1250 meter buffer,-0.5956455206339778,+,0.03523915395372282,-0.008794519402905375,-0.12775540143091685,-0.10642820062552903,-0.05029657023173687,0.08329980364034655,0.06373088823305634,9,-456.05509026211183,930.9209913350345,6.503562409927781,0.00673715493786854,osm_anthro_df_2021_2022,bear
500 meter buffer,-0.5940998539839952,+,0.032405233578746646,0.011470207708394452,-0.10182931750623818,-0.1261034047667335,-0.019867582001072567,0.0775389258047385,0.08064855993718262,9,-456.2004981810644,931.2118071729396,6.794378247832924,0.0058254124325256,osm_anthro_df_2021_2022,bear
750 meter buffer,-0.5926718677068474,+,0.0360780754651371,0.0046090231476484415,-0.10065338962755889,-0.1198153796853289,-0.02425698287114531,0.05208192429954662,0.08326256598364039,9,-457.33025041436184,933.4713116395345,9.0538827144278,0.00188226825371009,osm_anthro_df_2021_2022,bear
1000 meter buffer,-5.5482023388883945,+,-0.7434272456035655,-1.2895673921419526,-0.3131128635144558,-0.1874940411434001,0.15459500562858655,0.03898567092292087,0.6921299188368579,9,-133.0946364019643,285.0000836147394,0,0.884098184918733,osm_anthro_df_2021_2022,caribou
