Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
2250 meter buffer,-0.5949002845509156,+,0.03492053118343692,-0.12626176983051107,0.03987284896068123,-0.06507999258818238,-0.02496278025742846,-0.10897596298576925,-0.11226459205314497,-0.09143360868087567,0.09190454723410493,0.23007383904124462,12,-452.86124021229756,931.1471379588417,7.8007267237339875,0.013721416323045,osm_final_df_2021_2022,bear
2000 meter buffer,-0.5957578905402781,+,0.03576933530126202,-0.12271892214448937,0.04185305157781107,-0.05101751482186827,-0.009151510623133753,-0.10615428470127926,-0.11468802917870376,-0.10762045181168291,0.0880154601673312,0.19780467156775738,12,-452.9432867117307,931.311230957708,7.964819722600282,0.0126405682990932,osm_final_df_2021_2022,bear
1750 meter buffer,-0.5965509650592121,+,0.037729142782736494,-0.12031960983193069,0.03194767688590798,-0.038185092948910024,0.0026592821133801076,-0.10943392527994748,-0.11987870236484453,-0.12237009117683006,0.07879740824437105,0.1775060035654295,12,-453.0538673058864,931.5323921460193,8.185980910911667,0.0113172799174588,osm_final_df_2021_2022,bear
1500 meter buffer,-0.5968317490985738,+,0.038047626701378796,-0.13837424153559125,0.016515660006731502,-0.03347636442646568,0.01731895347410201,-0.0995668393882253,-0.12868914178452498,-0.10071780588001164,0.07856425962489527,0.16480949242557724,12,-453.1898784202644,931.8044143747753,8.458003139667653,0.00987809460627899,osm_final_df_2021_2022,bear
4750 meter buffer,-0.5982737258220145,+,0.08494333834511783,-0.08954523301891673,-0.04739082648715832,-0.02706363650204288,-0.11700820143908454,-0.1032752643013553,-0.12833420153203642,-0.15907322802097967,0.09693841903682923,0.27294373364596475,12,-453.2413009068126,931.9072593478718,8.56084811276412,0.00938297759050928,osm_final_df_2021_2022,bear
5000 meter buffer,-0.5977570641840048,+,0.08922058139940121,-0.09662684073182459,-0.05854212793361774,-0.030799609134242824,-0.11637823746081849,-0.09421258012810074,-0.135883085813638,-0.16134235001461927,0.09090226716758278,0.275902119348372,12,-453.40159965585354,932.2278568459536,8.881445610845958,0.0079932577409391,osm_final_df_2021_2022,bear
1250 meter buffer,-0.5961641671335947,+,0.028780877004566916,-0.1359102424693723,0.01587584159962487,-0.027751477145067028,0.034924605572958393,-0.08951919790048309,-0.13410830814848382,-0.06911242565142704,0.08315493570795868,0.1301725085718435,12,-453.45381005349407,932.3322776412347,8.985866406127002,0.00758663393577811,osm_final_df_2021_2022,bear
1000 meter buffer,-0.5953468724042478,+,0.019342371231670288,-0.10213769991447537,0.03621657475469362,-0.016250798855275524,0.013738406405799307,-0.09475402358893431,-0.13011279896299233,-0.057778130716899065,0.08347821434179223,0.11152605039050185,12,-453.87592627800694,933.1765100902604,9.830098855152755,0.00497423595435878,osm_final_df_2021_2022,bear
500 meter buffer,-0.5967795560229034,+,0.03286583123974238,-0.11199818193504026,-0.022960834043991657,0.05165732197536831,0.01823148984070027,-0.12202041117261755,-0.11835725217883632,-0.02208990411571412,0.07081655861607591,0.08990772206478431,12,-454.0539606381002,933.5325788104469,10.186167575339255,0.00416300605091241,osm_final_df_2021_2022,bear
750 meter buffer,-0.5945337531752996,+,0.03127260413905182,-0.10855726857609099,0.028620813967591634,0.007246516275681913,0.03019863162138722,-0.08703427114804713,-0.13149704563169803,-0.03521405902358616,0.0434784576872405,0.12258499186310007,12,-455.1710404350124,935.7667384042713,12.42032716916367,0.00136227708223044,osm_final_df_2021_2022,bear
1000 meter buffer,-5.541690581246886,+,-0.6572516704581403,0.06847733561721592,0.20533800412397435,-0.0658740300643949,-1.2929549945705772,-0.30020168035214956,-0.1386450280418327,0.1438105552599739,0.0455915320166719,0.7342745939496642,12,-131.8196499792972,289.063957492841,0,0.796395114583704,osm_final_df_2021_2022,caribou
1250 meter buffer,-5.389313430712378,+,-0.36118017656821855,-0.09234292567379992,0.1908618117873845,-0.14997594569502784,-1.1419092716310122,-0.22065484432720164,-0.14740918465464833,0.17634245475737453,0.05588960487491239,0.7962445513797894,12,-134.13309517314525,293.6908478805371,4.626890387696108,0.0787792977901434,osm_final_df_2021_2022,caribou
