site,black_bear,coyote,fisher,moose,snowshoe_hare,white-tailed_deer,cougar,grey_wolf,lynx,red_fox,wolverine,caribou,absent_black_bear,absent_coyote,absent_fisher,absent_moose,absent_snowshoe_hare,absent_white-tailed_deer,absent_cougar,absent_grey_wolf,absent_lynx,absent_red_fox,absent_wolverine
LU21_21,3,0,1,5,0,10,0,0,0,0,0,0,6,0,-1,-5,0,-10,0,0,0,0,0
LU21_23,3,0,1,1,3,2,0,0,1,0,0,0,6,0,-1,-1,-3,-2,0,0,-1,0,0
LU21_27,3,0,4,1,0,2,0,1,0,0,0,3,6,3,-1,2,3,1,3,2,3,3,3
LU21_32,2,0,0,3,0,0,0,0,0,0,0,2,7,2,2,-1,2,2,2,2,2,2,2
LU21_36,6,2,2,5,0,8,0,5,0,0,0,0,3,-2,-2,-5,0,-8,0,-5,0,0,0
LU21_41,1,0,2,3,5,1,0,0,1,0,0,2,8,2,0,-1,-3,1,2,2,1,2,2
LU21_52,6,3,0,2,8,7,0,1,8,0,0,0,3,-3,0,-2,-8,-7,0,-1,-8,0,0
LU21_56,2,0,0,2,1,9,0,2,6,0,0,0,7,0,0,-2,-1,-9,0,-2,-6,0,0
LU21_57,2,0,2,7,3,8,0,0,0,0,0,0,7,0,-2,-7,-3,-8,0,0,0,0,0
LU21_59,2,0,0,8,0,6,0,1,0,0,0,0,8,0,0,-8,0,-6,0,-1,0,0,0
LU21_63,0,2,1,1,0,3,0,1,1,1,0,0,6,-2,-1,-1,0,-3,0,-1,-1,-1,0
LU21_68,6,4,0,5,1,10,0,0,0,2,0,0,4,-4,0,-5,-1,-10,0,0,0,-2,0
LU21_74,3,0,1,5,4,6,0,0,0,0,0,0,6,0,-1,-5,-4,-6,0,0,0,0,0
LU21_78,4,0,0,5,0,10,0,3,0,0,0,0,6,0,0,-5,0,-10,0,-3,0,0,0
LU21_82,6,3,1,4,1,10,0,0,3,0,0,0,3,-3,-1,-4,-1,-10,0,0,-3,0,0
LU21_871,7,2,1,7,1,9,0,2,2,0,0,0,2,-2,-1,-7,-1,-9,0,-2,-2,0,0
LU21_93,5,5,1,3,7,9,0,3,1,0,0,0,5,-5,-1,-3,-7,-9,0,-3,-1,0,0
LU21_97,6,0,0,7,0,8,0,1,0,0,0,0,4,0,0,-7,0,-8,0,-1,0,0,0
LU21_98,3,0,1,4,0,2,0,0,0,0,0,0,6,0,-1,-4,0,-2,0,0,0,0,0
