array,camera,site,buff_dist,vegetated_edge_roads,harvest_area,road_gravel_1l,conventional_seismic,tame_pasture,pipeline,road_gravel_2l,trail,well_bitumen,rough_pasture,well_aband,road_unclassified,crop,low_impact_seismic,clearing_unknown,cultivation_abandoned,road_paved_undiv_2l,road_unimproved,truck_trail,dugout,road_paved_undiv_1l,well_gas,vegetated_edge_railways,harvest_area_white_zone,country_residence,borrowpit_dry,rural_residence,borrowpit_wet,borrowpits,grvl_sand_pit,ris_reclaimed_temp,ris_clearing_unknown,ris_drainage,ris_mines_oilsands,ris_overburden_dump,ris_facility_operations,transmission_line,ris_tailing_pond,clearing_wellpad_unconfirmed,mines_oilsands,ris_soil_replaced,road_paved_1l,ris_oilsands_rms,ris_facility_unknown,ris_borrowpits,ris_transmission_line,ris_soil_salvaged,ris_road,ris_plant,urban_residence,facility_other,airp_runway,runway,ris_reclaimed_permanent,urban_industrial,lagoon,facility_unknown,residence_clearing,well_cased,road_unpaved_2l,road_paved_3l,surrounding_veg,rlwy_sgl_track,road_winter,sump,greenspace,road_paved_2l,well_other,canal,reservoir,well_cleared_not_confirmed,misc_oil_gas_facility,camp_industrial,ris_camp_industrial,oil_gas_plant,well_unknown,ris_utilities,cfo,recreation,campground,peat,golfcourse,landfill,transfer_station,mill,road_paved_div,rlwy_spur,well_cleared_not_drilled,open_pit_mine,well_oil,road_paved_4l,mines_pitlake,ris_reclaimed_certified,ris_windrow,tailing_pond,rlwy_mlt_track,rlwy_dbl_track,ris_waste,interchange_ramp,road_paved_5l,ris_airp_runway,fruit_vegetables,road_unpaved_1l,ris_reclaim_ready,ris_tank_farm,lc_class20,lc_class32,lc_class33,lc_class34,lc_class50,lc_class110,lc_class120,lc_class210,lc_class220,lc_class230
LU13,51,LU13_51,250,0.015621072999999997,0,0.016023374000000003,0,0,0.24020357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026840324000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108549892217252,0,0.8914501077827478,0,0
LU13,27,LU13_27,250,0.017358444000000008,0,0.017039177,0.01429697,0,0.06063788700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07983738299999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139574142963382,0,0.8604258570366181,0,0
LU13,05,LU13_05,250,0.017127758,0,0.017264684000000002,0,0,0.26437539300000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13148888100000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15823270099946604,0,0.841767299000534,0,0
LU13,26,LU13_26,250,0.020910842,0,0.020875349,0,0,0.09308189599999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08819567700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20314353861951498,0,0.7968564613804849,0,0
LU13,35,LU13_35,250,0.06317412700000001,0,0,0.008312214,0,0,0.020662154000000002,0,0,0,0.016702956,0,0,0,0.010439706,0,0,0,0.0051684090000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339044137193619,0,0,0.660955862806381,0,0
LU13,13,LU13_13,250,0,0,0,0.008550150999999999,0,0,0,0.0197711,0,0,0.001429421,0,0,0,0,0,0,0,0.018832558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014931260000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833314347664164,0.166685652335836,0
LU13,128,LU13_128,250,0,0,0,0.012518892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015418989999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014994500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241462875368763,0,0,0.7585371246312368,0,0
LU13,131,LU13_131,250,0,0,0,0.011010813,0,0,0,0.003142757,0,0,0.019392346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017368326000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324801619540284,0.0102415702710885,0,0.664956810188627,0,0
LU13,12,LU13_12,250,0,0,0,0.03696863599999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05862736947652051,0,0.9413726305234802,0,0
LU13,33,LU13_33,250,0.023044799999999997,0,0.022917578,0,0,0.11416573100000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09304915899999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5303991361760321,0,0.4696008638239681,0,0
