Model,cond((Int)),disp((Int)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),df,logLik,AICc,delta,weight,Dataset,species
3000 meter buffer,-4.993431644053545,+,-0.19813163800793843,0.03210852689115236,-0.09638687097288309,5,-153.48458676578292,317.23466025722956,5.798337364111433,0.012198674065119,osm_anthro_df_2021_2022,caribou
3250 meter buffer,-4.988323848155495,+,-0.10344989448664059,0.0151183536953223,-0.10318028393807967,5,-153.60168166181657,317.46885004929686,6.03252715617873,0.0108507300844508,osm_anthro_df_2021_2022,caribou
3750 meter buffer,-1.3687611634814139,+,0.4529572481257489,-0.25045714757379955,-0.07533795678101375,5,-486.11351079556937,982.4925083168024,0,0.192416290579081,osm_anthro_df_2021_2022,coyote
4500 meter buffer,-1.3659975175068046,+,0.47413819452882083,-0.23543294775929624,-0.092235973129451,5,-486.1745049974305,982.6144967205247,0.12198840372229824,0.181030767526777,osm_anthro_df_2021_2022,coyote
4750 meter buffer,-1.3649608956979133,+,0.481114063717026,-0.23059735804878762,-0.09066597298551861,5,-486.1812513101406,982.6279893459449,0.13548102914251103,0.179813587713143,osm_anthro_df_2021_2022,coyote
5000 meter buffer,-1.3637386962174,+,0.48572515491683516,-0.2254750304521822,-0.09148066838320354,5,-486.4594417523016,983.1843702302668,0.6918619134644359,0.136146327970297,osm_anthro_df_2021_2022,coyote
3500 meter buffer,-1.368307176374873,+,0.44835294913186075,-0.24682858524586335,-0.06858494271965691,5,-486.7077758625062,983.681038450676,1.1885301338736554,0.106207649784193,osm_anthro_df_2021_2022,coyote
4250 meter buffer,-1.3672067170032682,+,0.4594486871150357,-0.24044842377318254,-0.08346633941638679,5,-486.9956875964653,984.2568619185943,1.7643536017918677,0.0796374455819771,osm_anthro_df_2021_2022,coyote
4000 meter buffer,-1.3685686526451195,+,0.44943862570198634,-0.24810045581666576,-0.07420348647241637,5,-487.0112916002929,984.2880699262495,1.795561609447077,0.0784044276032653,osm_anthro_df_2021_2022,coyote
3250 meter buffer,-1.3682652109533324,+,0.43310787857370725,-0.24684446050889108,-0.052268276815970786,5,-488.09513054182435,986.4557478093124,3.963239492509956,0.0265237738906306,osm_anthro_df_2021_2022,coyote
3000 meter buffer,-1.3676354568540103,+,0.4248030825863728,-0.24405252994129112,-0.05034903036969035,5,-489.1893122744874,988.6441112746385,6.151602957836076,0.00888051655658374,osm_anthro_df_2021_2022,coyote
1250 meter buffer,-1.3666352421255912,+,0.41729102307272503,-0.18260778985615186,-0.017412911740351485,5,-490.4367848360333,991.1390563977303,8.646548080927914,0.00255074931379601,osm_anthro_df_2021_2022,coyote
1750 meter buffer,-1.3636173148872508,+,0.4389814137893174,-0.16700398363769048,-0.05052876221012035,5,-490.522920278123,991.3113272819097,8.818818965107312,0.0023402358677254,osm_anthro_df_2021_2022,coyote
2750 meter buffer,-1.3662375167658085,+,0.41966818027852515,-0.23052676010715958,-0.05564390262455234,5,-490.9380552239725,992.1415971736087,9.649088856806316,0.00154514348504001,osm_anthro_df_2021_2022,coyote
2000 meter buffer,-1.3632950803087422,+,0.4372304405168782,-0.17570533229036653,-0.07287740816164033,5,-491.2951603215973,992.8558073688582,10.363299052055822,0.00108113528516325,osm_anthro_df_2021_2022,coyote
1500 meter buffer,-1.3653430253124337,+,0.4235780856740177,-0.17158501890527933,-0.028573541026816824,5,-491.3306799080106,992.9268465416849,10.434338224882481,0.00104340780567259,osm_anthro_df_2021_2022,coyote
2250 meter buffer,-1.3642850156753794,+,0.43563565370062446,-0.1913409110807564,-0.08306701756499105,5,-491.41374102853655,993.0929687827368,10.600460465934361,0.000960242878625793,osm_anthro_df_2021_2022,coyote
2500 meter buffer,-1.365243986673012,+,0.4240073334135581,-0.2120976599192541,-0.07098909635655955,5,-491.6407846050379,993.5470559357394,11.054547618937022,0.000765204160376352,osm_anthro_df_2021_2022,coyote
1000 meter buffer,-1.368914464069185,+,0.383817836068655,-0.19602261800668883,0.0090044199364273,5,-491.8013030738285,993.8680928733206,11.37558455651822,0.000651725985362046,osm_anthro_df_2021_2022,coyote
750 meter buffer,-1.370036218622734,+,0.3340027095558939,-0.18619006866055668,0.04805909922867014,5,-497.9675686813273,1006.2006240883182,23.70811577151585,1.36801200978022e-06,osm_anthro_df_2021_2022,coyote
500 meter buffer,-1.3696981817075373,+,0.21101027121894567,-0.19164144611659814,0.039140689781739964,5,-513.3686490733243,1037.0027848723123,54.510276555509904,2.80211322911106e-13,osm_anthro_df_2021_2022,coyote
250 meter buffer,-1.3734894388298498,+,0.14351997171101186,-0.19771733535850114,0.006203178570975488,5,-519.6501301611013,1049.5657470478664,67.07323873106395,5.24171140180377e-16,osm_anthro_df_2021_2022,coyote
2500 meter buffer,-2.968378883981839,+,0.4462479312903191,0.4626472884557555,-0.18883197789632117,5,-278.7345064655133,567.7344996566902,0,0.205241059128762,osm_anthro_df_2021_2022,fisher
3250 meter buffer,-2.964729894480278,+,0.4788544448789625,0.4208578163333459,-0.26410639640896033,5,-278.8745028750768,568.0144924758173,0.27999281912707374,0.178428645631128,osm_anthro_df_2021_2022,fisher
2750 meter buffer,-2.9670045504147167,+,0.4573524601497325,0.4539605804684803,-0.2070439807623507,5,-279.0308190468556,568.3271248193748,0.5926251626846124,0.152608009620806,osm_anthro_df_2021_2022,fisher
3000 meter buffer,-2.9652891614836503,+,0.4730753400620692,0.4321032584033181,-0.2443788403072521,5,-279.06212561572704,568.3897379571177,0.6552383004275271,0.147904387750818,osm_anthro_df_2021_2022,fisher
2250 meter buffer,-2.968783956008517,+,0.42075834230904163,0.4861172824670643,-0.11844449754898119,5,-279.7041250266403,569.6737367789443,1.9392371222540987,0.0778330871416616,osm_anthro_df_2021_2022,fisher
3500 meter buffer,-2.9595540378240126,+,0.45848113015052244,0.4082149691547799,-0.24854140188915877,5,-279.7154074395902,569.696301604844,1.961801948153834,0.0769598773309647,osm_anthro_df_2021_2022,fisher
2000 meter buffer,-2.9709619794410527,+,0.400687198817182,0.5042086284700216,-0.07794105016486942,5,-280.3559088312206,570.9773043881048,3.2428047314145942,0.0405600187188703,osm_anthro_df_2021_2022,fisher
3750 meter buffer,-2.9518480461618406,+,0.43431978182635095,0.3841963574847674,-0.22070439678272002,5,-280.8247232944056,571.9149333144749,4.180433657784647,0.0253801750038798,osm_anthro_df_2021_2022,fisher
4250 meter buffer,-2.949501971433481,+,0.42922586958735026,0.36837293307484875,-0.2412595789114093,5,-280.84607991603474,571.9576465577331,4.223146901042924,0.0248438872403511,osm_anthro_df_2021_2022,fisher
4000 meter buffer,-2.9496035128687597,+,0.4244698044369355,0.3701223601195592,-0.22623897988359087,5,-281.07351550635855,572.4125177383808,4.678018081690539,0.0197899878497548,osm_anthro_df_2021_2022,fisher
4500 meter buffer,-2.9469836779885115,+,0.4115209469692157,0.36720684974007484,-0.21980574277258735,5,-281.50927007392664,573.284026873517,5.549527216826732,0.0127996980152332,osm_anthro_df_2021_2022,fisher
4750 meter buffer,-2.9457196884842864,+,0.3971584242905593,0.36805949476699534,-0.1984924676475857,5,-281.8276847226757,573.9208561710151,6.186356514324871,0.00930923510366224,osm_anthro_df_2021_2022,fisher
1750 meter buffer,-2.9639634746406047,+,0.3641566410136537,0.4814611897898383,-0.043209227563019315,5,-282.3687145284431,575.0029157825498,7.2684161258596305,0.00541935672818324,osm_anthro_df_2021_2022,fisher
5000 meter buffer,-2.9436614982109557,+,0.3765219641420864,0.3686674156570822,-0.16747160818590517,5,-282.4228418502989,575.1111704262614,7.376670769571206,0.00513381887190773,osm_anthro_df_2021_2022,fisher
1250 meter buffer,-2.9681500551924764,+,0.35754137814976206,0.5177533117667286,0.027417552199977085,5,-282.5875460651327,575.4405788559291,7.706079199238843,0.00435422042277551,osm_anthro_df_2021_2022,fisher
1000 meter buffer,-2.980890842130102,+,0.34992001452401245,0.5883084895355151,0.07927382733778854,5,-282.69927610626456,575.6640389381928,7.929539281502571,0.0038939168203734,osm_anthro_df_2021_2022,fisher
750 meter buffer,-2.9881000631865406,+,0.3899083268195085,0.6379614033498633,0.15948496461677078,5,-282.74270584978365,575.750898425231,8.01639876854074,0.00372842466354262,osm_anthro_df_2021_2022,fisher
500 meter buffer,-2.9880474854188006,+,0.43461952297653267,0.6500934652011883,0.248013145968626,5,-282.96468892122164,576.1948645681069,8.460364911416718,0.00298620314949287,osm_anthro_df_2021_2022,fisher
1500 meter buffer,-2.9596998038610973,+,0.35111110447886373,0.46750186794427767,-0.009224150119453434,5,-283.0227235394043,576.3109338044723,8.576434147782038,0.00281783289511219,osm_anthro_df_2021_2022,fisher
250 meter buffer,-2.942422377472358,+,0.28412108496037397,0.42746243844352755,0.22361367506674684,5,-288.86745858893295,588.0004039035296,20.26590424683934,8.15791271939403e-06,osm_anthro_df_2021_2022,fisher
3500 meter buffer,-3.046160599226602,+,-0.27916702930764326,0.005707166416881689,0.35378959535426974,5,-259.37887341340667,529.023233552477,0,0.242663946610904,osm_anthro_df_2021_2022,wolf
3750 meter buffer,-3.046275499760594,+,-0.30137363523571364,-0.014531403936808397,0.348327600521558,5,-259.50906699035363,529.2836207063709,0.2603871538939302,0.213040858977331,osm_anthro_df_2021_2022,wolf
4000 meter buffer,-3.042264045909851,+,-0.331865196299852,-0.025042870645267307,0.3320410182986827,5,-259.7174179901373,529.7003227059382,0.6770891534612247,0.172972560780703,osm_anthro_df_2021_2022,wolf
3250 meter buffer,-3.0340998019110175,+,-0.26426889900833767,0.02266208918788602,0.32036739527719665,5,-260.14644428772436,530.5583753011124,1.5351417486353967,0.112629838496293,osm_anthro_df_2021_2022,wolf
4250 meter buffer,-3.0334459177538715,+,-0.33765275478779627,-0.0410912730487428,0.2989330491203135,5,-260.38600845316773,531.0375036319991,2.0142700795221344,0.088636391333832,osm_anthro_df_2021_2022,wolf
4500 meter buffer,-3.0277101178646153,+,-0.33980292832189773,-0.05799507518827602,0.2709728827804245,5,-260.84886106224417,531.963208850152,2.939975297675005,0.0557953147945811,osm_anthro_df_2021_2022,wolf
3000 meter buffer,-3.02190126751973,+,-0.23722347851118264,0.021704145850522716,0.27641084085032586,5,-261.25697398692313,532.7794346995099,3.7562011470329253,0.0370985163010516,osm_anthro_df_2021_2022,wolf
4750 meter buffer,-3.0196257197711525,+,-0.30765699461565044,-0.06411312484936509,0.24030768545612138,5,-261.6511265867591,533.5677398991819,4.544506346704907,0.0250137175676596,osm_anthro_df_2021_2022,wolf
5000 meter buffer,-3.0154885125299287,+,-0.2888991844432539,-0.07915892012144767,0.21604018954643492,5,-262.10493878138504,534.4753642884338,5.452130735956757,0.0158887638365592,osm_anthro_df_2021_2022,wolf
2750 meter buffer,-3.0119297751838867,+,-0.20286706426531426,0.03740790714200632,0.23744287026904068,5,-262.1128554536015,534.4911976328667,5.46796408038972,0.0157634742938237,osm_anthro_df_2021_2022,wolf
2500 meter buffer,-2.998351438387906,+,-0.14740111115962753,0.05544666259782403,0.17281694904183872,5,-263.3430597755815,536.9516062768266,7.928372724349629,0.00460660520768718,osm_anthro_df_2021_2022,wolf
500 meter buffer,-3.0008986237045505,+,-0.09243199572077278,-0.13701548250074588,-0.1671911290555617,5,-263.6123126413172,537.4901120082981,8.466878455821075,0.00351921629914865,osm_anthro_df_2021_2022,wolf
2250 meter buffer,-2.991718687576223,+,-0.10049864409696423,0.0889614415948783,0.13321337720639265,5,-263.90001898242093,538.0655246905055,9.042291138028531,0.00263934817016212,osm_anthro_df_2021_2022,wolf
250 meter buffer,-2.990126191357856,+,-0.1461240709204635,-0.09057996422692287,-0.07031879650301015,5,-264.2211929522262,538.7078726301161,9.684639077639076,0.00191431146872997,osm_anthro_df_2021_2022,wolf
2000 meter buffer,-2.9886060988824648,+,-0.057239956895201095,0.10569753895810738,0.10819333722232367,5,-264.2396119435005,538.7447106126647,9.72147706018768,0.00187937452186875,osm_anthro_df_2021_2022,wolf
1750 meter buffer,-2.986130443554419,+,-0.019329159817041575,0.12366847955041879,0.07517681273505135,5,-264.4672664937402,539.2000197131441,10.17678616066712,0.00149673260680018,osm_anthro_df_2021_2022,wolf
1500 meter buffer,-2.9843536384398397,+,0.014080293745106368,0.1168397234232864,0.029148981606387948,5,-264.64493875784024,539.5553642413441,10.532130688867142,0.00125308963041745,osm_anthro_df_2021_2022,wolf
1250 meter buffer,-2.9822151507459798,+,-0.021087454101872512,0.07171334167805872,0.013028002547023182,5,-264.78132162377506,539.8281299732138,10.804896420736782,0.00109333137227603,osm_anthro_df_2021_2022,wolf
750 meter buffer,-2.9849442740382868,+,-0.07707024514083956,-0.018946655245196755,0.0025857280457807067,5,-264.80621312188447,539.8779129694326,10.854679416955605,0.0010664526303617,osm_anthro_df_2021_2022,wolf
1000 meter buffer,-2.982631403724629,+,-0.0396313950629534,0.03565014872900576,0.0037983230044979447,5,-264.84278493289787,539.9510565914594,10.92782303898241,0.00102815509980954,osm_anthro_df_2021_2022,wolf
500 meter buffer,-1.8591947579645318,+,-0.10277645322584787,-0.012560613236673386,0.09523680559316616,5,-452.4005648661214,915.0666164579064,0,0.206707267661395,osm_anthro_df_2021_2022,lynx
750 meter buffer,-1.8575407237805321,+,-0.06674318973251664,0.04171500352192415,0.08806790943983785,5,-453.1012829973165,916.4680527202967,1.4014362623902343,0.102574103188514,osm_anthro_df_2021_2022,lynx
250 meter buffer,-1.856118383913155,+,-0.12883312229055033,-0.055256357875997746,0.005895647501439023,5,-453.3180435336812,916.901573793026,1.8349573351196113,0.0825847434062632,osm_anthro_df_2021_2022,lynx
1000 meter buffer,-1.855710808268125,+,-0.04117640370230297,0.04301117549514096,0.07839389311729501,5,-453.57084920039244,917.4071851264486,2.3405686685421188,0.0641368635002324,osm_anthro_df_2021_2022,lynx
1250 meter buffer,-1.8542010710003733,+,0.01610288212314985,0.053661054003381455,0.07089353877556356,5,-453.786104998665,917.8376967229937,2.771080265087221,0.0517158077495499,osm_anthro_df_2021_2022,lynx
1500 meter buffer,-1.8536512700063867,+,0.0478692465829051,0.0516615485437383,0.051569723708737004,5,-453.93172309590113,918.1289329174659,3.062316459559497,0.0447076843715303,osm_anthro_df_2021_2022,lynx
4750 meter buffer,-1.8511279155773839,+,0.04169625735631263,-0.021537748465512346,-0.09099171904806311,5,-453.9398411533823,918.1451690324283,3.0785525745218365,0.0443462140236417,osm_anthro_df_2021_2022,lynx
5000 meter buffer,-1.8509563578782031,+,0.03511440815810769,-0.015848521365534243,-0.09285677080660044,5,-453.9733971033577,918.212280932379,3.1456644744725963,0.0428828247059737,osm_anthro_df_2021_2022,lynx
3000 meter buffer,-1.854755013005617,+,0.018056853891479086,-0.024654431697666162,0.05007566513503995,5,-454.18509927606385,918.6356852777914,3.569068819884933,0.0347010246924859,osm_anthro_df_2021_2022,lynx
4500 meter buffer,-1.851382450360165,+,0.0353365130124087,-0.027241760304239932,-0.06599581239649484,5,-454.2042697816039,918.6740262888715,3.6074098309650253,0.0340421244112713,osm_anthro_df_2021_2022,lynx
3250 meter buffer,-1.8546706333372562,+,0.01480914130975264,-0.03210492525489172,0.04535370236235599,5,-454.2209511405101,918.7073890066839,3.640772548777477,0.0334789657013316,osm_anthro_df_2021_2022,lynx
