Model,cond((Int)),disp((Int)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),df,logLik,AICc,delta,weight,Dataset,species
4750 meter buffer,-1.7942062401618382,+,-0.04654219322714939,0.017018716062297393,-0.10858089089530118,5,-444.9069500140144,900.0793867536925,18.735920480004893,8.43620704152656e-05,osm_anthro_df_2021_2022,moose
3000 meter buffer,-1.798543408984312,+,-0.13010136335884262,-0.03222701149223259,0.02279063506405863,5,-445.14353084309676,900.5525484118572,19.209082138169606,6.65888448548208e-05,osm_anthro_df_2021_2022,moose
4500 meter buffer,-1.794334134159119,+,-0.06239861349668074,0.015264207323001298,-0.0780299541458214,5,-445.166832581092,900.5991518878477,19.255685614160143,6.5055147342877e-05,osm_anthro_df_2021_2022,moose
4250 meter buffer,-1.7944614591778463,+,-0.06812523135792974,0.014404361100821276,-0.06781075399824632,5,-445.2067681815793,900.6790230888223,19.335556815134737,6.25083239055164e-05,osm_anthro_df_2021_2022,moose
4000 meter buffer,-1.7946210370430231,+,-0.07759938307146748,0.009148417256190663,-0.0498626672113614,5,-445.3283093100557,900.9221053457751,19.578639072087526,5.53545357160248e-05,osm_anthro_df_2021_2022,moose
3250 meter buffer,-1.79714569692247,+,-0.11404443139027888,-0.015955813770750588,0.01289311199806472,5,-445.3830942461656,901.0316752179949,19.68820894430735,5.24035148190201e-05,osm_anthro_df_2021_2022,moose
3500 meter buffer,-1.7961850116364593,+,-0.10191077908128286,-0.0070072556173420945,-0.0027571814100519447,5,-445.4782047502628,901.2218962261893,19.878429952501733,4.76490723387651e-05,osm_anthro_df_2021_2022,moose
3750 meter buffer,-1.7951961581242875,+,-0.0864702078211968,-6.681693298501773e-4,-0.022075497881098367,5,-445.5523253109945,901.3701373476526,20.026671073965076,4.4245010186445e-05,osm_anthro_df_2021_2022,moose
4750 meter buffer,-4.31170052519417,+,0.28657286714301805,-0.4706629953929676,0.4440924202207415,5,-172.61199557269276,355.48947787104925,0,0.32480459406135,osm_anthro_df_2021_2022,fox
5000 meter buffer,-4.314445860849926,+,0.2946127226985068,-0.49014388449755636,0.4374597077971737,5,-172.74038730287967,355.74626133142306,0.2567834603738106,0.285668492753384,osm_anthro_df_2021_2022,fox
4500 meter buffer,-4.305607473015814,+,0.2758244829788797,-0.4600581382502915,0.43699058125316365,5,-173.15682173087032,356.57913018740436,1.0896523163551137,0.188368018450957,osm_anthro_df_2021_2022,fox
4250 meter buffer,-4.288722277177406,+,0.266566112013951,-0.4362485307456056,0.4273370591219001,5,-174.11718215611924,358.4998510379022,3.0103731668529576,0.0720987833045728,osm_anthro_df_2021_2022,fox
3750 meter buffer,-4.2684219641985655,+,0.24915881718339067,-0.3134366422455868,0.4867188515324577,5,-174.8190151558883,359.90351703744034,4.414039166391092,0.0357376290705412,osm_anthro_df_2021_2022,fox
4000 meter buffer,-4.264669312109709,+,0.2688969995311251,-0.3745203548283213,0.4290864135953998,5,-175.09541750128363,360.456321728231,4.966843857181743,0.0271072663752885,osm_anthro_df_2021_2022,fox
3500 meter buffer,-4.258078526232341,+,0.24694220765086602,-0.28257620121409494,0.48289586112189375,5,-175.66737218572374,361.6002310971112,6.110753226061945,0.0152999129590936,osm_anthro_df_2021_2022,fox
3250 meter buffer,-4.258904904432743,+,0.22814685141866572,-0.24611112210712524,0.5047879260194217,5,-176.02818439528141,362.32185551622655,6.832377645177303,0.0106657207432225,osm_anthro_df_2021_2022,fox
1500 meter buffer,-4.286422072488018,+,0.17207493445676805,-0.14489943072103967,0.5400933064636831,5,-176.16312201490564,362.591730755475,7.102252884425752,0.009319391251971,osm_anthro_df_2021_2022,fox
2750 meter buffer,-4.2506467393247425,+,0.23087872187685352,-0.25524005876307143,0.45952793634240113,5,-176.64499772685275,363.5554821793692,8.066004308319975,0.00575587802750768,osm_anthro_df_2021_2022,fox
2500 meter buffer,-4.28006865089226,+,0.2042168498702637,-0.21586397280205805,0.5171329833045806,5,-176.79563522787268,363.8567571814091,8.367279310359834,0.00495097287307916,osm_anthro_df_2021_2022,fox
2250 meter buffer,-4.2926896113949775,+,0.20295121073682806,-0.1767634108758229,0.5379829336237333,5,-176.81599130036875,363.8974693264012,8.407991455351976,0.00485120935197385,osm_anthro_df_2021_2022,fox
3000 meter buffer,-4.238552044793121,+,0.24461155899027742,-0.24897156296556547,0.449893905227199,5,-176.83115133262993,363.9277893909236,8.438311519874333,0.00477821952367955,osm_anthro_df_2021_2022,fox
1750 meter buffer,-4.291311413855768,+,0.16250723750116172,-0.18913438407912456,0.5304592413184297,5,-177.24768519665258,364.7608571189689,9.27137924791964,0.00315041480566252,osm_anthro_df_2021_2022,fox
1250 meter buffer,-4.24264036067421,+,0.2204566541150826,-0.14633020695070145,0.4692529132703619,5,-177.37527909527998,365.0160449162237,9.526567045174431,0.00277302901472794,osm_anthro_df_2021_2022,fox
2000 meter buffer,-4.282951703738047,+,0.20672205808615815,-0.17391068025479997,0.5171510588623411,5,-177.49969249175282,365.26487170916937,9.775393838120124,0.0024486254674023,osm_anthro_df_2021_2022,fox
1000 meter buffer,-4.226175552903257,+,0.269849237009611,-0.11051460662140804,0.44388635891780154,5,-178.28051490177302,366.82651652920975,11.337038658160509,0.00112154188702028,osm_anthro_df_2021_2022,fox
750 meter buffer,-4.197990659384381,+,0.3321049710391667,0.045176193134790245,0.45193803776716,5,-178.4800515447114,367.2255898150865,11.736111944037248,0.000918666405731492,osm_anthro_df_2021_2022,fox
500 meter buffer,-4.125760418876334,+,0.6055378780286911,0.2520354376437475,0.3412638863579492,5,-180.4476135054574,371.16071373657854,15.671235865529297,0.000128427057684113,osm_anthro_df_2021_2022,fox
250 meter buffer,-4.125956558050114,+,0.47551049274880947,0.02398044327322828,0.2553587592669788,5,-181.32879187058867,372.92307046684107,17.433592595791822,5.32066151504817e-05,osm_anthro_df_2021_2022,fox
4500 meter buffer,-0.16238132594894125,+,0.20187598254016897,-0.20538962621997686,0.370688305425646,5,-587.9307901656467,1186.1270670569572,0,0.610835638936824,osm_anthro_df_2021_2022,deer
4250 meter buffer,-0.16254266548422272,+,0.19591693167168892,-0.19218942143337067,0.3621324375440781,5,-589.2947323031938,1188.8549513320513,2.727884275094084,0.156160727612842,osm_anthro_df_2021_2022,deer
4750 meter buffer,-0.16202443346296933,+,0.22303895854683,-0.2107506093872178,0.3444188890940227,5,-589.3298673920408,1188.9252215097454,2.7981544527881397,0.150769275766296,osm_anthro_df_2021_2022,deer
4000 meter buffer,-0.16352262577586726,+,0.19381588165549415,-0.17740528530364721,0.35435140964474343,5,-590.5906299303268,1191.4467465863174,5.319679529360201,0.0427337136235918,osm_anthro_df_2021_2022,deer
5000 meter buffer,-0.16230108462609869,+,0.23067502983365523,-0.22074357193235103,0.31717359352237884,5,-591.13978195758,1192.5450506408238,6.417983583866544,0.0246761237831786,osm_anthro_df_2021_2022,deer
3750 meter buffer,-0.164104167163591,+,0.19652829633033672,-0.16596431811032222,0.3409399944070443,5,-592.0094865036771,1194.284459733018,8.157392676060681,0.0103411551717346,osm_anthro_df_2021_2022,deer
3500 meter buffer,-0.16417054055370348,+,0.19465874756640128,-0.15778893077008888,0.32926474243853276,5,-593.4362788014241,1197.138044328512,11.010977271554793,0.00248268164345542,osm_anthro_df_2021_2022,deer
3250 meter buffer,-0.16416893874566982,+,0.19223411704170987,-0.15234248128370542,0.32505953762314355,5,-593.8627796422601,1197.991046010184,11.863978953226706,0.00162066805358161,osm_anthro_df_2021_2022,deer
3000 meter buffer,-0.16316624531863133,+,0.19472743887015917,-0.1474674486327942,0.3092069741942182,5,-595.4702299007657,1201.2059465271952,15.078879470238007,0.000324778516873811,osm_anthro_df_2021_2022,deer
2750 meter buffer,-0.16256791107277604,+,0.1993409056226368,-0.14242311505486718,0.2880722434827774,5,-597.4594911939461,1205.184469113556,19.057402056598676,4.44285450898051e-05,osm_anthro_df_2021_2022,deer
2500 meter buffer,-0.1625755972227454,+,0.19855991152043848,-0.13978800145792003,0.2761806800664372,5,-599.0260489363346,1208.317584598333,22.19051754137581,9.27501687502185e-06,osm_anthro_df_2021_2022,deer
2250 meter buffer,-0.16233641994895323,+,0.20390808670139962,-0.1360577350948603,0.25025524246125963,5,-601.1460942432716,1212.557675212207,26.43060815524973,1.11324494111914e-06,osm_anthro_df_2021_2022,deer
2000 meter buffer,-0.16176037935179843,+,0.19848624366405215,-0.129282300482684,0.23720598887604352,5,-602.3431365805559,1214.9517598867756,28.824692829818332,3.36296113711359e-07,osm_anthro_df_2021_2022,deer
1750 meter buffer,-0.16162156079650986,+,0.18838780009764144,-0.12274787332297067,0.22306219489510337,5,-603.8423250049985,1217.9501367356609,31.823069678703632,7.50987292773965e-08,osm_anthro_df_2021_2022,deer
1500 meter buffer,-0.16281441517592743,+,0.1626830403513718,-0.12319160577433463,0.212656277874697,5,-606.062256409721,1222.3899995451059,36.262932488148635,8.1569655708316e-09,osm_anthro_df_2021_2022,deer
1250 meter buffer,-0.16158850108799222,+,0.16221466309388263,-0.10650332938706515,0.19348297266597825,5,-608.7951497741046,1227.855786273873,41.728719216915806,5.3045447977006e-10,osm_anthro_df_2021_2022,deer
1000 meter buffer,-0.1598991050205431,+,0.1635467099085379,-0.07477042265942527,0.14695476365538657,5,-614.2261772172751,1238.717841160214,52.59077410325676,2.32264519148962e-12,osm_anthro_df_2021_2022,deer
750 meter buffer,-0.1614725376732871,+,0.10971171452236418,-0.08782437098402139,0.12648591419418134,5,-617.39999863032,1245.065483986304,58.93841692934666,9.71873511563539e-14,osm_anthro_df_2021_2022,deer
250 meter buffer,-0.167014101137931,+,-0.04939048269436524,-0.1892323998390755,0.03773632326478709,5,-618.6593009364515,1247.5840885985667,61.45702154160949,2.75868239255026e-14,osm_anthro_df_2021_2022,deer
500 meter buffer,-0.16522001746074502,+,0.017595240280520764,-0.13121110304239028,0.08187522320792656,5,-620.2647551868267,1250.7949970993172,64.66793004236001,5.53938793913647e-15,osm_anthro_df_2021_2022,deer
