array,site,buff_dist,airp_runway,borrowpit_dry,borrowpit_wet,borrowpits,camp_industrial,campground,canal,cfo,clearing_unknown,clearing_wellpad_unconfirmed,conventional_seismic,country_residence,crop,cultivation_abandoned,dugout,facility_other,facility_unknown,fruit_vegetables,golfcourse,greenspace,grvl_sand_pit,harvest_area,harvest_area_white_zone,interchange_ramp,lagoon,landfill,lc_class110,lc_class120,lc_class20,lc_class210,lc_class220,lc_class230,lc_class32,lc_class33,lc_class34,lc_class50,low_impact_seismic,mill,mines_oilsands,mines_pitlake,misc_oil_gas_facility,oil_gas_plant,open_pit_mine,peat,pipeline,recreation,reservoir,residence_clearing,ris_airp_runway,ris_borrowpits,ris_camp_industrial,ris_clearing_unknown,ris_drainage,ris_facility_operations,ris_facility_unknown,ris_mines_oilsands,ris_oilsands_rms,ris_overburden_dump,ris_plant,ris_reclaim_ready,ris_reclaimed_certified,ris_reclaimed_permanent,ris_reclaimed_temp,ris_road,ris_soil_replaced,ris_soil_salvaged,ris_tailing_pond,ris_tank_farm,ris_transmission_line,ris_utilities,ris_waste,ris_windrow,rlwy_dbl_track,rlwy_mlt_track,rlwy_sgl_track,rlwy_spur,road_gravel_1l,road_gravel_2l,road_paved_1l,road_paved_2l,road_paved_3l,road_paved_4l,road_paved_5l,road_paved_div,road_paved_undiv_1l,road_paved_undiv_2l,road_unclassified,road_unimproved,road_unpaved_1l,road_unpaved_2l,road_winter,rough_pasture,runway,rural_residence,sump,surrounding_veg,tailing_pond,tame_pasture,trail,transfer_station,transmission_line,truck_trail,urban_industrial,urban_residence,vegetated_edge_railways,vegetated_edge_roads,well_aband,well_bitumen,well_cased,well_cleared_not_confirmed,well_cleared_not_drilled,well_gas,well_oil,well_other,well_unknown
LU13,LU13_26,2750,0,0,0,0,0,0,0,0,0,9.390000000000003e-5,0.006299714,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.02262688999999999,0,0,0.9291843989999998,0.006682826,0.002733979,0,0,0,0.038771905999999995,0,0,0,0,0,0,0,0,0.014836298000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002366956,0,0,0,0,0,0,0,0,0,0,0.0010613829999999997,0,0,0,0,0,0,0,0,0,0,6.204909999999999e-4,0,0.008984727999999999,0.002973286,0,0,0,0.002363919,0.003239287,0,0,0.0011022360000000001,0,0,0,1.4378299999999998e-4,0
LU13,LU13_35,2750,0,0,8.967510000000003e-4,0,0,0,0,0,3.296489999999999e-4,1.84016e-4,0.011285456999999999,0,0,0,0,0,0,0,0,0,0,0.16406928300000007,0,0,0,0,0.008280791,0,0,0.8661667829999998,0.0017132660000000004,0,0,0,0,0.12383916,0,0,0,0,0.003313208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003378655000000001,0,0,0,0,0,0,0,0,0,1.5100400000000005e-4,0,0,0,0,0,0,0.001511734,0,0,0,3.0810999999999995e-4,0,0,0.002800892,0,0,0,0.010856821000000003,0.017780511000000006,0,0,1.1654e-4,0,0,0,0,0
LU13,LU13_13,2750,0,0,0,0,0,0,0,0,0,9.390000000000003e-5,0.006950393,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.041280831,0,0,0.8440786130000004,0.009940936999999999,0.030292107999999988,0,0,0,0.074407512,0,0,0,0,0,0,0,0,0.014038642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023704219999999996,0,0,0,0,0,0,0,0,0,0,0.001378722,0,0,0,0,0,0,0,0,0,0,0.001003203,0,0.009021877999999995,0.003486264000000001,0,0,0,0.00236696,0.004965442,0,6.058449999999999e-4,0.0011022360000000001,0,0,0,1.4378299999999998e-4,0
LU13,LU13_128,2750,0,0,0,0,0,0,0,0,0,0,0.006016456,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.047887752,0,0,0.8103167799999996,0.010367433999999998,0.044006031999999994,0,0,0,0.08742200200000003,0,0,0,0,0,0,0,0,0.014112416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002365218,0,0,0,0,0,0,0,0,0,0,0.001264499,0,0,0,0,0,0,0,0,0,0,0.001411404,0,0.00898071,0.003083788000000001,0,0,0,0.002361475,0.004055981,0,6.058449999999999e-4,0.0011022360000000001,0,0,0,0,0
LU13,LU13_131,2750,0,0,0,0,0,0,0,0,0,9.580000000000002e-5,0.007160086000000002,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.07139084300000002,0,0,0.7520133769999998,0.010323839999999999,0.036193922,0,0,0,0.130078019,0,0,0,0,0,0,0,0,0.013834845000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023139369999999994,0,0,0,0,0,0,0,0,0,0,0.001012882,0,0,0,0,0,0,0,0,0,0,0.00128724,0,0.0088271,0.003364236,0,0,0,0.0023104959999999996,0.006375508999999998,0,6.058449999999999e-4,9.416470000000001e-4,0,0,0,1.26279e-4,0
LU13,LU13_12,2750,0,0,0,0,0,0,0,0,0,9.580000000000002e-5,0.00545215,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.071323569,0,0,0.7763916390000002,0.006318576999999998,0.048391745,0,0,0,0.09757447000000002,0,0,0,0,0,0,0,0,0.014206265000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236952,0,0,0,0,0,0,0,0,0,0,7.31675e-4,0,0,0,0,0,0,0,0,0,0,0.0018536949999999996,0,0.009003515,0.0024389620000000002,0,0,0,0.0023657400000000007,0.0042174649999999975,0,6.058449999999999e-4,8.167970000000001e-4,0,0,0,0,0
LU13,LU13_33,2750,0,0,0,0,0,0,0,0,0,1.21758e-4,0.0068386850000000015,0,0,0,0,2.7358000000000005e-4,0,0,0,0,0,0,0,0,0,0,0.08817689299999998,0,0,0.748926847,0.004928953,0.032956181,0,0,0,0.125011126,0,0,0,0,0,0,0,0,0.013953403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023456969999999995,0,0,0,0,0,0,0,0,0,0,1.9266099999999998e-4,0,0,0,0,0,0,0,0,0,0,0.001770361,0,0.00893559,0.002794464,0,0,0,0.0023425369999999996,0.0061712239999999995,0,6.058449999999999e-4,5.419740000000001e-4,0,0,0,1.3319400000000003e-4,0
LU13,LU13_32,2750,0,5.8300000000000014e-5,0,0,0,0,0,0,9.410000000000002e-5,2.5679000000000007e-4,0.006765953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099712622,0,0,0.718935322,0.005307258999999998,0.014332093,0,0.03262951900000002,0,0.12908318600000004,0,0,0,0,0,0,0,0,0.014121579999999998,0,0,0,0,0,0,0.023348796,0.002514535,0,0,0,0.0066278699999999975,0,0,0,0,0.02528332,0,0.004330336999999998,0.002204202,0.001856985,0,0,0,0,0,0,0,0,0,0,0.002371189,0,0,0,0,0,0,0,0,0,0,2.63004e-4,0,0,0,0,0,0,0,0,0,0,0.00125524,0,0.009009099999999999,0.002620468,0,0,0,0.002368564000000001,0.006884742,0,0,0,0,0,0,1.3319400000000003e-4,0
LU13,LU13_30,2750,0,5.8300000000000014e-5,0,0,0,0,0,0,1.1500000000000001e-7,3.5307700000000003e-4,0.0074091550000000015,0,0,0,0,0,0,0,0,0,0,3.59e-5,0,0,0,0,0.09937035399999997,0,0,0.6688345749999998,0,0,0,0.095738769,0,0.13605630200000005,0,0,0,0,0,0,0,0,0.013471102,0,0,0,0,0,0,0.038390499,0.00924445,0.0011955270000000005,0,0,0.03145155800000001,0.018494202,0,0,0,0.050787627000000016,0,0.012886814000000003,0.010408306999999999,0.012298839,0,0,0,0,0,0,0,0,0,0,0.0024311890000000007,0,0,0,0,0,0,0,0,0,0,3.1204000000000003e-4,0,0,0,0,0,0,0,0,0,0,9.331840000000002e-4,0,0.009214725,0.002257710000000001,0,0,0,0.002451794000000001,0.0073769019999999986,0,0,0,0,0,0,1.3319400000000003e-4,0
LU13,LU13_53,2750,0,0,0,0,0,0,0,0,8.947480000000001e-4,7.480000000000003e-5,0.003674832,0,0,0,0,0,0,0,0,0,0,0.021690310000000008,0,0,0,0,0.044298359,0,0,0.869018721,0.002810829,0.013069474,0,0,0,0.070802616,0,0,0,0,0,0,0,0,0.026320176000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001059824,0.003227177,0,0,0,0,0,0,0,0,0,9.400000000000004e-5,0,0,0,0,0,0,0.001565153,0,0,0,2.0671100000000005e-4,0,0.004293861999999998,3.23067e-4,0,0,0,0.011673967999999998,0.0016486579999999997,0,0,0,0,0,0,0,0
